L1: [system] session started (tools + workspace initialized)
L2: [assistant] I'll start by examining the data file and looking at existing examples to understand the project structure and operator schemas.
L3: [tool_use Bash] {"command":"head -5 noodles-editor/src/examples/quake-hexbins/data.csv && echo \"---ROWS---\" && wc -l noodles-editor/src/examples/quake-hexbins/data.csv && echo \"---EXAMPLES---\" && ls noodles-editor/src/examples/ 2>/dev/null; ls noodles-editor/public/examples/ 2>/dev/null","description":"Inspect data.csv and list examples"}
L4: [tool_result(error)] Exit code 2
L5: DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
L6: 1967/08/01 10:33:50.47,36.08000,-121.07083,80.339,2.50,Mx,10,292,42,0.25,NCSN,1000872
L7: 1968/03/19 00:04:34.04,37.13600,-121.54100,8.673,2.58,Mx,9,156,13,0.04,NCSN,1001500
L8: 1968/06/15 13:53:24.02,37.42417,-121.80650,8.176,2.60,ML,24,157,16,0.06,NCSN,1001680
L9: 1968/10/06 07:31:23.74,36.97300,-121.42767,6.560,2.58,Mx,10,149,8,0.06,NCSN,1001909
L10: ---ROWS---
L11: 2036 noodles-editor/src/examples/quake-hexbins/data.csv
L12: ---EXAMPLES---
L13: aggregation-example
L14: california-earthquakes
L15: cesium-hubble
L16: chargers
L17: custom-maplibre-layer-test
L18: geojson-example
L19: nyc-census
L20: nyc-taxis
L21: orbit
L22: quake-hexbins
L23: sf-elevation-contours
L24: simple-mesh-example
L25: uk-commute
L26: us-county-unemployment
L27: world-flights
L28: [assistant] Interesting — there's both `src/examples` and `public/examples`. Let me understand how examples are served and look at relevant existing examples.
L29: [tool_use Bash] {"command":"cd noodles-editor && echo \"===src/examples===\" && ls src/examples/ && echo \"===src/examples/california-earthquakes===\" && ls -la src/examples/california-earthquakes/ 2>/dev/null && echo \"===public/examples/california-earthquakes===\" && ls -la public/examples/california-earthquakes/ 2>/dev/null","description":"Compare src and public examples dirs"}
L30: [tool_result(error)] Exit code 2
L31: ===src/examples===
L32: aggregation-example
L33: california-earthquakes
L34: cesium-hubble
L35: chargers
L36: custom-maplibre-layer-test
L37: geojson-example
L38: nyc-census
L39: nyc-taxis
L40: orbit
L41: quake-hexbins
L42: sf-elevation-contours
L43: simple-mesh-example
L44: uk-commute
L45: us-county-unemployment
L46: world-flights
L47: ===src/examples/california-earthquakes===
L48: total 4548
L49: drwxrwxr-x  2 root root    4096 Jun 15 20:30 .
L50: drwxrwxr-x 17 root root    4096 Jul  6 08:44 ..
L51: -rw-rw-r--  1 root root       0 Jun 15 20:30 README.md
L127:       "id": "/magnitude-accessor.out.accessor->/sqrt.par.a"
L128:     },
L129:     {
L130:       "source": "/magnitude-accessor",
L131:       "sourceHandle": "out.accessor",
L132:       "target": "/multiply",
L133:       "targetHandle": "par.a",
L134:       "id": "/magnitude-accessor.out.accessor->/multiply.par.a"
L135:     }
L136:   ],
L137:   "viewport": {
L138:     "x": 143.291766562843,
L139:     "y": 172.88548024794358,
L140:     "zoom": 0.4813563009649149
L141:   },
L142:   "version": 14,
L143:   "name": "California Earthquakes",
L144:   "editorSettings": {
L145:     "layoutMode": "noodles-on-top",
L146:     "showOverlay": true
L147:   },
L148:   "nodes": [
L149:     {
L150:       "id": "/deck",
L151:       "type": "DeckRendererOp",
L152:       "data": {
L153:         "inputs": {},
L154:         "locked": false
L155:       },
L156:       "position": {
L157:         "x": 1200,
L158:         "y": 200
L159:       }
L160:     },
L161:     {
L162:       "id": "/out",
L163:       "type": "OutOp",
L164:       "data": {
L165:         "inputs": {
L166:           "display": "fixed",
L167:           "width": 1920,
L168:           "height": 1080,
L169:           "lod": 2,
L170:           "waitForData": true,
L171:           "codec": "avc",
L172:           "bitrateMbps": 10,
L173:           "bitrateMode": "constant",
L174:           "scaleControl": 0.3,
L175:           "framerate": 30,
L176:           "captureDelay": 50
L177:         },
L178:         "locked": false
L179:       },
L180:       "position": {
L181:         "x": 1500,
L182:         "y": 200
L183:       }
L184:     },
L185:     {
L186:       "id": "/data-source",
L187:       "type": "FileOp",
L188:       "data": {
L189:         "inputs": {
L190:           "format": "csv",
L191:           "url": "@/data.csv"
L192:         },
L193:         "locked": false
L194:       },
L195:       "position": {
L196:         "x": -30.281922090095136,
L197:         "y": -18.432474315710078
L198:       }
L199:     },
L200:     {
L201:       "id": "/scatterplot-layer",
L202:       "type": "ScatterplotLayerOp",
L203:       "data": {
L204:         "inputs": {
L205:           "stroked": false,
L206:           "billboard": true,
L207:           "getLineColor": "#ffffffff",
L208:           "radiusUnits": "meters"
L209:         },
L210:         "locked": false
L211:       },
L212:       "position": {
L213:         "x": 660.3778338957
L214: ...[truncated 2462 chars]
L215: [assistant] Version 14 here (not 6). Let me look for existing DuckDbOp and H3 usage patterns, and the operator schemas.
L216: [tool_use Bash] {"command":"cd noodles-editor && echo \"===grep DuckDbOp in examples===\" && grep -rl \"DuckDbOp\" src/examples/ && echo \"===grep H3HexagonLayerOp===\" && grep -rl \"H3HexagonLayerOp\" src/examples/ && echo \"===grep h3 in sql===\" && grep -rln \"h3_\" src/examples/","description":"Find examples using DuckDB and H3"}
L217: [tool_result] /bin/bash: line 1: cd: noodles-editor: No such file or directory
L218: [tool_use Bash] {"command":"echo \"===DuckDbOp===\" && grep -rl \"DuckDbOp\" src/examples/; echo \"===H3HexagonLayerOp===\" && grep -rl \"H3HexagonLayerOp\" src/examples/; echo \"===h3_===\" && grep -rln \"h3_\" src/examples/","description":"Find DuckDB and H3 example usage"}
L219: [tool_result] ===DuckDbOp===
L220: src/examples/chargers/noodles.json
L221: ===H3HexagonLayerOp===
L222: ===h3_===
L223: [tool_use Bash] {"command":"cd /tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor; echo \"===chargers DuckDbOp nodes===\"; python3 -c \"\nimport json\nd=json.load(open('src/examples/chargers/noodles.json'))\nfor n in d['nodes']:\n    if n['type']=='DuckDbOp':\n        print(json.dumps(n,indent=2))\n\"","description":"Show DuckDbOp node from chargers"}
L224: [tool_result] ===chargers DuckDbOp nodes===
L225: {
L226:   "id": "/duckdb-0",
L227:   "type": "DuckDbOp",
L228:   "position": {
L229:     "x": -1264.3775772798185,
L230:     "y": -102.49235227489045
L231:   },
L232:   "resizing": false,
L233:   "data": {
L234:     "inputs": {
L235:       "query": [
L236:         "SELECT AddressInfo.Latitude as lat, AddressInfo.Longitude as lng, *",
L237:         "FROM read_json_auto(printf('https://api.openchargemap.io/v3/poi/?client=ocm.app.ionic.8.7.0&verbose=false&output=json&maxresults=1000&compact=true&boundingbox=(%f,%f),(%f,%f)&key=%s', {{centroid.out.location.lat}} + 0.5, {{centroid.out.location.lng}} - 0.5, {{centroid.out.location.lat}} - 0.5, {{centroid.out.location.lng}} + 0.5,",
L238:         "'3967da06-b05f-47b5-8c83-f52cdf1065c2",
L239:         "'));"
L240:       ]
L241:     },
L242:     "locked": false
L243:   },
L244:   "width": 430,
L245:   "height": 333,
L246:   "measured": {
L247:     "width": 430,
L248:     "height": 333
L249:   }
L250: }
L251: [assistant] Now let me examine the operator schemas for DuckDbOp and H3HexagonLayerOp to get correct handle names and check H3 support in DuckDB.
L252: [tool_use Bash] {"command":"cd /tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor; echo \"===DuckDbOp class===\"; grep -rln \"class DuckDbOp\" src/; echo \"===H3HexagonLayerOp===\"; grep -rln \"class H3HexagonLayerOp\" src/; echo \"===h3 install/load in code===\"; grep -rln \"h3\\b\\|INSTALL h3\\|LOAD h3\\|community\" src/noodles/ | head","description":"Locate operator classes and h3 references"}
L253: [tool_result] ===DuckDbOp class===
L254: src/noodles/operators.ts
L255: ===H3HexagonLayerOp===
L256: src/noodles/operators.ts
L257: ===h3 install/load in code===
L258: src/noodles/components/render-settings-panel.tsx
L259: src/noodles/components/parameter-editor-dialog.tsx
L260: src/noodles/components/error-boundary.tsx
L261: [tool_use Bash] {"command":"cd /tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor; grep -n \"class DuckDbOp\" src/noodles/operators.ts","description":"Find DuckDbOp line number"}
L262: [tool_result] 2131:export class DuckDbOp extends Operator<DuckDbOp> {
L263: [tool_use Read] {"file_path":"/tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor/src/noodles/operators.ts","offset":2131,"limit":180}
L264: [tool_result] 2131	export class DuckDbOp extends Operator<DuckDbOp> {
L265: 2132	  static displayName = 'DuckDB'
L266: 2133	  static description = 'Query a DuckDB database using sql'
L267: 2134	  asDownload = () => this.outputData
L268: 2135	  createInputs() {
L269: 2136	    return {
L270: 2137	      query: new CodeField('SELECT 1 as val;', { language: 'sql' }),
L271: 2138	    }
L272: 2139	  }
L273: 2140	  createOutputs() {
L274: 2141	    return {
L275: 2142	      data: new DataField(),
L276: 2143	    }
L277: 2144	  }
L278: 2145	
L279: 2146	  async execute({
L280: 2147	    query: queryString = '',
L281: 2148	  }: ExtractProps<typeof this.inputs>): ExtractProps<typeof this.outputs> | null {
L282: 2149	    const queries = queryString
L283: 2150	      .split(';')
L284: 2151	      .map(s => s.trim())
L285: 2152	      .filter(Boolean)
L286: 2153	      .map(s => `${s};`)
L287: 2154	    if (!queries?.length) {
L288: 2155	      return { data: [] }
L289: 2156	    }
L290: 2157	
L291: 2158	    const db = await duckDbInstance
L292: 2159	    const conn = await db.connect()
L293: 2160	
L294: 2161	    try {
L295: 2162	      let data = []
L296: 2163	      for (const query of queries) {
L297: 2164	        if (!mustacheRe.test(query)) {
L298: 2165	          const result = await conn.query(query)
L299: 2166	          data = result.toArray()
L300: 2167	          continue
L301: 2168	        }
L302: 2169	
L303: 2170	        // Parse the query and extract references
L304: 2171	        const references: FieldReference[] = []
L305: 2172	        const parameterizedQuery = query.replace(mustacheRe, (raw, opId, inOut, fieldPath) => {
L306: 2173	          // If the opId is a relative path (doesn't start with /), make it relative to current context
L307: 2174	          const resolvedOpId = opId.startsWith('/') ? opId : `./${opId}`
L308: 2175	          references.push({ opId: resolvedOpId, inOut, fieldPath, raw })
L309: 2176	          return `$${references.length}` // $1, $2, etc.
L310: 2177	        })
L311: 2178	
L312: 2179	        // Resolve reference values
L313: 2180	        const positionalParams = references.map(({ opId, inOut, fieldPath }) => {
L314: 2181	          const op = getOp(opId, this.id)
L315: 2182	          const [firstKey, ...rest] = fieldPath.split('.')
L316: 2183	
L317: 2184	          const field = op?.[inOut === 'par' ? 'inputs' : 'outputs']?.[firstKey]
L318: 2185	          if (!field) {
L319: 2186	            throw new Error(`Field ${firstKey} not found on ${opId}`)
L320: 2187	          }
L321: 2188	
L322: 2189	          return rest.reduce((d, prop) => d[prop], field.value)
L323: 2190	        })
L324: 2191	
L325: 2192	        // Prepare the query with the current connection
L326: 2193	        const prepared = await conn.prepare(parameterizedQuery)
L327: 2194	
L328: 2195	        const result = await prepared.query(...positionalParams)
L329: 2196	        data = result.toArray()
L330: 2197	      }
L331: 2198	      await conn.close()
L332: 2199	      return { data }
L333: 2200	    } catch (e) {
L334: 2201	      debugExecute('Error executing query', e)
L335: 2202	      await conn.close()
L336: 2203	      await db.reset()
L337: 2204	      if (e instanceof Error) {
L338: 2205	        throw e
L339: 2206	      }
L340: 2207	      return null
L341: 2208	    }
L342: 2209	  }
L343: 2210	}
L344: 2211	
L345: 2212	export class JSONOp extends Operator<JSONOp> {
L346: 2213	  static displayName = 'JSON'
L347: 2214	  static description = 'Parse a JSON string'
L348: 2215	  createInputs() {
L349: 2216	    return {
L350: 2217	      text: new CodeField('{}', { language: 'json' }),
L351: 2218	    }
L352: 2219	  }
L353: 2220	  createOutputs() {
L354: 2221	    return {
L355: 2222	      data: new DataField(),
L356: 2223	    }
L357: 2224	  }
L358: 2225	  execute({ text }: ExtractProps<typeof this.inputs>): ExtractProps<typeof this.outputs> {
L359: 2226	    const json = text.replace(mustacheRe, (_, opId: string, inOut: InOut, fieldPath: string) => {
L360: 2227	      // If the opId is a relative path (doesn't start with /), make it relative to current context
L361: 2228	      const resolvedOpId = opId.startsWith('/') ? opId : `./${opId}`
L362: 2229	      const op = getOp(resolvedOpId, this.id)
L363: 2230	      const [fieldName, ...propKeys] = fieldPath.split('.')
L364: 2231	
L365: 2232	      const field = op?.[inOut === 'par' ? 'inputs' : 'outputs']?.[fieldName]
L366: 2233	      if (!field) {
L367: 2234	        throw new Error(`Field ${fieldName} not found on ${resolvedOpId}`)
L368: 2235	      }
L369: 2236	
L370: 2237	      const val = propKeys.reduce((d, prop) => d[prop], field.value)
L371: 2238	      return
L372: ...[truncated 2523 chars]
L373: [tool_use Bash] {"command":"cd /tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor; echo \"===H3HexagonLayerOp===\"; grep -n \"class H3HexagonLayerOp\\|class H3ClusterLayerOp\" src/noodles/operators.ts; echo \"===duckDbInstance def===\"; grep -rn \"duckDbInstance\" src/ | grep -v operators.ts | head","description":"Find H3 layer classes and duckdb instance"}
L374: [tool_result] ===H3HexagonLayerOp===
L375: 5502:export class H3HexagonLayerOp extends Operator<H3HexagonLayerOp> {
L376: 7559:export class H3ClusterLayerOp extends Operator<H3ClusterLayerOp> {
L377: ===duckDbInstance def===
L378: [tool_use Read] {"file_path":"/tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor/src/noodles/operators.ts","offset":5502,"limit":70}
L379: [tool_result] 5502	export class H3HexagonLayerOp extends Operator<H3HexagonLayerOp> {
L380: 5503	  static displayName = 'H3HexagonLayer'
L381: 5504	  static description = 'Render a hexagon grid on the map using the H3 grid system'
L382: 5505	  createInputs() {
L383: 5506	    return {
L384: 5507	      data: new DataField(),
L385: 5508	      visible: new BooleanField(true),
L386: 5509	      opacity: new NumberField(1, { min: 0, max: 1, step: 0.01 }),
L387: 5510	      getHexagon: new StringField('', { accessor: true }),
L388: 5511	      getFillColor: new ColorField('#fff', { accessor: true, transform: hexToColor }),
L389: 5512	      getRadius: new NumberField(1, { min: 0, accessor: true }),
L390: 5513	      getLineWidth: new NumberField(1, { min: 0, accessor: true }),
L391: 5514	      parameters: new CompoundPropsField(
L392: 5515	        {
L393: 5516	          depthTest: new BooleanField(true),
L394: 5517	        },
L395: 5518	        { showByDefault: false }
L396: 5519	      ),
L397: 5520	      extensions: new ListField(new ExtensionField(), { showByDefault: false }),
L398: 5521	    }
L399: 5522	  }
L400: 5523	  createOutputs() {
L401: 5524	    return {
L402: 5525	      layer: new LayerField<H3HexagonLayerProps>(),
L403: 5526	    }
L404: 5527	  }
L405: 5528	  execute(props: ExtractProps<typeof this.inputs>): ExtractProps<typeof this.outputs> {
L406: 5529	    const layer = {
L407: 5530	      ...parseLayerProps<H3HexagonLayerProps>(props),
L408: 5531	      type: 'H3HexagonLayer' as const,
L409: 5532	      id: this.id,
L410: 5533	      updateTriggers: gatherTriggers(this.inputs, props),
L411: 5534	    }
L412: 5535	    return { layer }
L413: 5536	  }
L414: 5537	}
L415: 5538	
L416: 5539	export class A5LayerOp extends Operator<A5LayerOp> {
L417: 5540	  static displayName = 'A5Layer'
L418: 5541	  static description =
L419: 5542	    'Render filled and/or stroked polygons using the A5 geospatial indexing system'
L420: 5543	  createInputs() {
L421: 5544	    return {
L422: 5545	      data: new DataField(),
L423: 5546	      visible: new BooleanField(true),
L424: 5547	      opacity: new NumberField(1, { min: 0, max: 1, step: 0.01 }),
L425: 5548	      getPentagon: new UnknownField((d: unknown) => d?.pentagon || '', { accessor: true }),
L426: 5549	      getFillColor: new ColorField('#fff', { accessor: true, transform: hexToColor }),
L427: 5550	      getElevation: new NumberField(1000, { min: 0, softMax: 100000, accessor: true }),
L428: 5551	      elevationScale: new NumberField(1, { min: 0, softMax: 100, showByDefault: false }),
L429: 5552	      extruded: new BooleanField(false),
L430: 5553	      pickable: new BooleanField(true, { showByDefault: false }),
L431: 5554	      parameters: new CompoundPropsField(
L432: 5555	        {
L433: 5556	          depthTest: new BooleanField(true),
L434: 5557	        },
L435: 5558	        { showByDefault: false }
L436: 5559	      ),
L437: 5560	      extensions: new ListField(new ExtensionField(), { showByDefault: false }),
L438: 5561	    }
L439: 5562	  }
L440: 5563	  createOutputs() {
L441: 5564	    return {
L442: 5565	      layer: new LayerField<A5LayerProps>(),
L443: 5566	    }
L444: 5567	  }
L445: 5568	  execute(props: ExtractProps<typeof this.inputs>): ExtractProps<typeof this.outputs> {
L446: 5569	    const layer = {
L447: 5570	      ...parseLayerProps<A5LayerProps>(props),
L448: 5571	      type: 'A5Layer' as const,
L449: [assistant] Now let me check the DuckDB instance setup to understand what extensions are available (H3 in DuckDB needs the community h3 extension).
L450: [tool_use Bash] {"command":"cd /tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor; grep -rn \"duckDbInstance\\|duckdb\\|DuckDB\\|@duckdb\" src/ --include=*.ts | grep -iv \"test\\|\\.json\" | grep -i \"instance\\|import\\|extension\\|INSTALL\\|LOAD\" | head -30","description":"Find duckdb instance setup"}
L451: [tool_result] src/noodles/operators.ts:130:import './utils/bigint-fix' // BigInt JSON polyfill for DuckDB
L452: src/noodles/operators.ts:131:import * as duckdb from '@duckdb/duckdb-wasm'
L453: src/noodles/operators.ts:2045:const duckDbInstance = (async () => {
L454: src/noodles/operators.ts:2066:      import('@duckdb/duckdb-wasm/dist/duckdb-mvp.wasm?url').then(m => m.default),
L455: src/noodles/operators.ts:2067:      import('@duckdb/duckdb-wasm/dist/duckdb-browser-mvp.worker.js?url').then(m => m.default),
L456: src/noodles/operators.ts:2068:      import('@duckdb/duckdb-wasm/dist/duckdb-eh.wasm?url').then(m => m.default),
L457: src/noodles/operators.ts:2069:      import('@duckdb/duckdb-wasm/dist/duckdb-browser-eh.worker.js?url').then(m => m.default),
L458: src/noodles/operators.ts:2070:      import('@duckdb/duckdb-wasm/dist/duckdb-coi.wasm?url').then(m => m.default),
L459: src/noodles/operators.ts:2071:      import('@duckdb/duckdb-wasm/dist/duckdb-browser-coi.worker.js?url').then(m => m.default),
L460: src/noodles/operators.ts:2072:      import('@duckdb/duckdb-wasm/dist/duckdb-browser-coi.pthread.worker.js?url').then(
L461: src/noodles/operators.ts:2158:    const db = await duckDbInstance
L462: [tool_use Read] {"file_path":"/tmp/noodles-evals/workspaces/sql-h3-pipeline--claude-opus-4-8--s2/noodles-editor/src/noodles/operators.ts","offset":2045,"limit":90}
L463: [tool_result] 2045	const duckDbInstance = (async () => {
L464: 2046	  // Use CDN bundles for Cloudflare Pages (which has a 25 MiB file size limit)
L465: 2047	  // Use local bundles for development and GitHub Actions (which can access local files)
L466: 2048	  let bundles: duckdb.DuckDBBundles
L467: 2049	
L468: 2050	  // Use import.meta.env directly in the condition for proper tree-shaking
L469: 2051	  if (import.meta.env.VITE_USE_CDN_DUCKDB === 'true') {
L470: 2052	    // jsdelivr CDN hosts the large WASM files externally
L471: 2053	    bundles = duckdb.getJsDelivrBundles()
L472: 2054	  } else {
L473: 2055	    // Dynamically import the WASM files only when not using CDN
L474: 2056	    // Vite will tree-shake this entire branch when VITE_USE_CDN_DUCKDB is 'true'
L475: 2057	    const [
L476: 2058	      duckdb_wasm,
L477: 2059	      mvp_worker,
L478: 2060	      duckdb_wasm_eh,
L479: 2061	      eh_worker,
L480: 2062	      duckdb_wasm_coi,
L481: 2063	      coi_worker,
L482: 2064	      duckdb_pthread_worker,
L483: 2065	    ] = await Promise.all([
L484: 2066	      import('@duckdb/duckdb-wasm/dist/duckdb-mvp.wasm?url').then(m => m.default),
L485: 2067	      import('@duckdb/duckdb-wasm/dist/duckdb-browser-mvp.worker.js?url').then(m => m.default),
L486: 2068	      import('@duckdb/duckdb-wasm/dist/duckdb-eh.wasm?url').then(m => m.default),
L487: 2069	      import('@duckdb/duckdb-wasm/dist/duckdb-browser-eh.worker.js?url').then(m => m.default),
L488: 2070	      import('@duckdb/duckdb-wasm/dist/duckdb-coi.wasm?url').then(m => m.default),
L489: 2071	      import('@duckdb/duckdb-wasm/dist/duckdb-browser-coi.worker.js?url').then(m => m.default),
L490: 2072	      import('@duckdb/duckdb-wasm/dist/duckdb-browser-coi.pthread.worker.js?url').then(
L491: 2073	        m => m.default
L492: 2074	      ),
L493: 2075	    ])
L494: 2076	
L495: 2077	    // Bundle the WASM files locally for environments that support it
L496: 2078	    bundles = {
L497: 2079	      mvp: {
L498: 2080	        mainModule: duckdb_wasm,
L499: 2081	        mainWorker: mvp_worker,
L500: 2082	      },
L501: 2083	      eh: {
L502: 2084	        mainModule: duckdb_wasm_eh,
L503: 2085	        mainWorker: eh_worker,
L504: 2086	      },
L505: 2087	      coi: {
L506: 2088	        mainModule: duckdb_wasm_coi,
L507: 2089	        mainWorker: coi_worker,
L508: 2090	        pthreadWorker: duckdb_pthread_worker,
L509: 2091	      },
L510: 2092	    }
L511: 2093	  }
L512: 2094	
L513: 2095	  // Select a bundle based on browser checks
L514: 2096	  const bundle = await duckdb.selectBundle(bundles)
L515: 2097	  const workerUrl = bundle.mainWorker!
L516: 2098	
L517: 2099	  // Handle cross-origin URLs by fetching and creating blob URL
L518: 2100	  const isCrossOrigin =
L519: 2101	    workerUrl.startsWith('http') && !workerUrl.startsWith(window.location.origin)
L520: 2102	  const resolvedWorkerUrl = isCrossOrigin
L521: 2103	    ? await fetch(workerUrl).then(async res => {
L522: 2104	        if (!res.ok) {
L523: 2105	          throw new Error(`Failed to fetch DuckDB worker: ${res.status} ${res.statusText}`)
L524: 2106	        }
L525: 2107	        const blob = new Blob([await res.text()], { type: 'application/javascript' })
L526: 2108	        return URL.createObjectURL(blob)
L527: 2109	      })
L528: 2110	    : workerUrl
L529: 2111	
L530: 2112	  const worker = new Worker(resolvedWorkerUrl)
L531: 2113	  const logger = new duckdb.ConsoleLogger(duckdb.LogLevel.WARNING)
L532: 2114	  const db = new duckdb.AsyncDuckDB(logger, worker)
L533: 2115	  await db.instantiate(bundle.mainModule, bundle.pthreadWorker)
L534: 2116	
L535: 2117	  const conn = await db.connect()
L536: 2118	  await conn.query(`
L537: 2119	    SET autoinstall_known_extensions = 1;
L538: 2120	    INSTALL spatial;
L539: 2121	    LOAD spatial;
L540: 2122	    INSTALL httpfs;
L541: 2123	    -- Not sure why but this isn't loading. For some reason it still works in the code though
L542: 2124	    -- LOAD httpfs;
L543: 2125	  `)
L544: 2126	  await conn.close()
L545: 2127	
L546: 2128	  return db
L547: 2129	})()
L548: 2130	
